design,epoch,train_loss,train_acc,val_acc,test_acc
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",5,0.9884070864190226,0.7593553325395476,0.7633279483037156,0.7649747414000481
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",6,0.9861251083405121,0.7514458241197483,0.7657512116316639,0.7589607890305509
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",7,0.9841075014808903,0.7591001871066508,0.7673667205169629,0.7640125090209285
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",8,0.980856403708458,0.7475761183874808,0.7552504038772213,0.7515034880923743
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",9,0.9786197964263998,0.7517434937914611,0.7641357027463651,0.7570363242723117
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",10,0.9766495143589766,0.7370301071610819,0.7447495961227787,0.7438056290594178
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",11,0.9758599620798359,0.7425582582071781,0.7657512116316639,0.747895116670676
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",12,0.9722574359696844,0.7326501105630209,0.7447495961227787,0.7380322347847005
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",13,0.9703193183826364,0.732012246980779,0.7407108239095315,0.7344238633630021
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",14,0.9684319353621939,0.7390287463854397,0.7544426494345718,0.7442867452489776
